id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	CD4+ Tex-N|CD4+ Tex-N	CD4+ Tex-N|CD4+ Tex-Y	CD4+ Tex-N|GZMK+ CD8+ Tem1-N	CD4+ Tex-N|GZMK+ CD8+ Tem1-Y	CD4+ Tex-N|S100A12+ Mac-N	CD4+ Tex-N|S100A12+ Mac-Y	CD4+ Tex-N|Treg-N	CD4+ Tex-N|Treg-Y	CD4+ Tex-Y|CD4+ Tex-N	CD4+ Tex-Y|CD4+ Tex-Y	CD4+ Tex-Y|GZMK+ CD8+ Tem1-N	CD4+ Tex-Y|GZMK+ CD8+ Tem1-Y	CD4+ Tex-Y|S100A12+ Mac-N	CD4+ Tex-Y|S100A12+ Mac-Y	CD4+ Tex-Y|Treg-N	CD4+ Tex-Y|Treg-Y	GZMK+ CD8+ Tem1-N|CD4+ Tex-N	GZMK+ CD8+ Tem1-N|CD4+ Tex-Y	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-N|S100A12+ Mac-N	GZMK+ CD8+ Tem1-N|S100A12+ Mac-Y	GZMK+ CD8+ Tem1-N|Treg-N	GZMK+ CD8+ Tem1-N|Treg-Y	GZMK+ CD8+ Tem1-Y|CD4+ Tex-N	GZMK+ CD8+ Tem1-Y|CD4+ Tex-Y	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-Y|S100A12+ Mac-N	GZMK+ CD8+ Tem1-Y|S100A12+ Mac-Y	GZMK+ CD8+ Tem1-Y|Treg-N	GZMK+ CD8+ Tem1-Y|Treg-Y	S100A12+ Mac-N|CD4+ Tex-N	S100A12+ Mac-N|CD4+ Tex-Y	S100A12+ Mac-N|GZMK+ CD8+ Tem1-N	S100A12+ Mac-N|GZMK+ CD8+ Tem1-Y	S100A12+ Mac-N|S100A12+ Mac-N	S100A12+ Mac-N|S100A12+ Mac-Y	S100A12+ Mac-N|Treg-N	S100A12+ Mac-N|Treg-Y	S100A12+ Mac-Y|CD4+ Tex-N	S100A12+ Mac-Y|CD4+ Tex-Y	S100A12+ Mac-Y|GZMK+ CD8+ Tem1-N	S100A12+ Mac-Y|GZMK+ CD8+ Tem1-Y	S100A12+ Mac-Y|S100A12+ Mac-N	S100A12+ Mac-Y|S100A12+ Mac-Y	S100A12+ Mac-Y|Treg-N	S100A12+ Mac-Y|Treg-Y	Treg-N|CD4+ Tex-N	Treg-N|CD4+ Tex-Y	Treg-N|GZMK+ CD8+ Tem1-N	Treg-N|GZMK+ CD8+ Tem1-Y	Treg-N|S100A12+ Mac-N	Treg-N|S100A12+ Mac-Y	Treg-N|Treg-N	Treg-N|Treg-Y	Treg-Y|CD4+ Tex-N	Treg-Y|CD4+ Tex-Y	Treg-Y|GZMK+ CD8+ Tem1-N	Treg-Y|GZMK+ CD8+ Tem1-Y	Treg-Y|S100A12+ Mac-N	Treg-Y|S100A12+ Mac-Y	Treg-Y|Treg-N	Treg-Y|Treg-Y
CPI-SC007890A1C	CDH1_aEb7 complex	simple:P12830	complex:aEb7 complex	CDH1		False	False	False	curated	True	0.057	0.202	0.171	0.209	0.041	0.12	0.122	0.133	0.055	0.2	0.169	0.207	0.039	0.118	0.12	0.131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.205	0.174	0.212	0.044	0.123	0.125	0.136	0.063	0.208	0.177	0.215	0.047	0.126	0.127	0.139
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	SPP1	CD44	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	2.022	2.549	2.472	1.873	9.96	10.277	2.25	2.429	2.123	2.65	2.574	1.974	10.061	10.378	2.352	2.53	2.129	2.657	2.58	1.981	10.067	10.384	2.358	2.537	1.763	2.291	2.214	1.614	9.701	10.018	1.992	2.171	9.677	10.204	10.127	9.528	17.615	17.932	9.905	10.084	23.768	24.295	24.219	23.619	31.706	32.023	23.997	24.175	2.084	2.611	2.535	1.935	10.022	10.339	2.312	2.491	2.095	2.623	2.546	1.946	10.033	10.35	2.324	2.503
CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	LGALS9	CD44	True	False	True	InnateDB	False	1.607	2.134	2.057	1.458	9.544	9.861	1.835	2.014	1.649	2.177	2.1	1.5	9.587	9.904	1.878	2.057	1.574	2.102	2.025	1.425	9.512	9.829	1.803	1.982	1.614	2.141	2.064	1.465	9.551	9.868	1.842	2.021	2.056	2.583	2.506	1.907	9.994	10.311	2.284	2.463	1.968	2.496	2.419	1.82	9.906	10.223	2.197	2.376	1.601	2.128	2.052	1.452	9.539	9.856	1.83	2.008	1.669	2.196	2.119	1.52	9.606	9.923	1.897	2.076
CPI-SS03722104E	HGF_CD44	simple:P14210	simple:P16070	HGF	CD44	True	False	True	IMEx,InnateDB-All,IntAct	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.533	2.061	1.984	1.384	9.471	9.788	1.762	1.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.534	2.061	1.984	1.385	9.472	9.789	1.762	1.941	1.544	2.071	1.994	1.395	9.481	9.798	1.772	1.951	1.546	2.074	1.997	1.397	9.484	9.801	1.775	1.954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0467AFD8A	FGF17_FGFR1	simple:O60258	simple:P11362	FGF17	FGFR1	True	False	True	I2D,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.082	0.009	0.005	0.026	0.038	0.012	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F2C6A4D4	FGF18_FGFR1	simple:O76093	simple:P11362	FGF18	FGFR1	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.083	0.009	0.006	0.027	0.039	0.012	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.082	0.009	0.005	0.026	0.038	0.012	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03189F5F6	FGF10_FGFR1	simple:O15520	simple:P11362	FGF10	FGFR1	True	False	True	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.082	0.009	0.005	0.026	0.038	0.012	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS06B86672A	CD44_FGFR2	simple:P16070	simple:P21802	CD44	FGFR2	True	True	True	InnateDB-All	False	0.0	1.534	0.0	1.541	0.0	0.0	0.0	0.0	0.0	2.061	0.0	2.068	0.0	0.0	0.0	0.0	0.0	1.984	0.0	1.991	0.0	0.0	0.0	0.0	0.0	1.385	0.0	1.392	0.0	0.0	0.0	0.0	0.0	9.472	0.0	9.479	0.0	0.0	0.0	0.0	0.0	9.789	0.0	9.795	0.0	0.0	0.0	0.0	0.0	1.762	0.0	1.769	0.0	0.0	0.0	0.0	0.0	1.941	0.0	1.948	0.0	0.0	0.0	0.0
CPI-SS0330D939A	FGF17_FGFR2	simple:O60258	simple:P21802	FGF17	FGFR2	True	False	True	I2D,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F6A7A4DF	FGF18_FGFR2	simple:O76093	simple:P21802	FGF18	FGFR2	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E928B8C8	FGF7_FGFR2	simple:P21781	simple:P21802	FGF7	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0AECC113F	FGF10_FGFR2	simple:O15520	simple:P21802	FGF10	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0735F5C3A	TIMP1_FGFR2	simple:P01033	simple:P21802	TIMP1	FGFR2	True	False	True	InnateDB-All	False	0.0	1.209	0.0	1.216	0.0	0.0	0.0	0.0	0.0	2.273	0.0	2.279	0.0	0.0	0.0	0.0	0.0	0.145	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.137	0.0	0.0	0.0	0.0	0.0	22.58	0.0	22.587	0.0	0.0	0.0	0.0	0.0	24.456	0.0	24.463	0.0	0.0	0.0	0.0	0.0	0.416	0.0	0.423	0.0	0.0	0.0	0.0	0.0	0.898	0.0	0.905	0.0	0.0	0.0	0.0
CPI-SS0348DB5E3	FGFR1_FGFR2	simple:P11362	simple:P21802	FGFR1	FGFR2	True	True	True	InnateDB-All	False	0.0	0.056	0.0	0.063	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.043	0.0	0.0	0.0	0.0
CPI-SS0BC9F7E9E	FGF17_FGFR3	simple:O60258	simple:P22607	FGF17	FGFR3	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E134097C	FGF18_FGFR3	simple:O76093	simple:P22607	FGF18	FGFR3	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS00E68BB92	FGF7_FGFR3	simple:P21781	simple:P22607	FGF7	FGFR3	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BF3ED143	FGFR2_FGFR3	simple:P21802	simple:P22607	FGFR2	FGFR3	True	True	True	IMEx,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS04297753E	SPP1_CCR8	simple:P10451	simple:P51685	SPP1	CCR8	True	False	True	IMEx,MINT	False	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.591	0.0	0.0	0.0	0.0	0.0	0.601	0.0	0.597	0.0	0.0	0.0	0.0	0.0	0.608	0.0	0.231	0.0	0.0	0.0	0.0	0.0	0.241	0.0	8.145	0.0	0.0	0.0	0.0	0.0	8.155	0.0	22.236	0.0	0.0	0.0	0.0	0.0	22.246	0.0	0.552	0.0	0.0	0.0	0.0	0.0	0.562	0.0	0.563	0.0	0.0	0.0	0.0	0.0	0.573
CPI-SS0ADC886E5	CCL4_CCR8	simple:P13236	simple:P51685	CCL4	CCR8	True	False	True	I2D	False	0.0	3.113	0.0	0.0	0.0	0.0	0.0	3.123	0.0	1.892	0.0	0.0	0.0	0.0	0.0	1.903	0.0	2.625	0.0	0.0	0.0	0.0	0.0	2.635	0.0	2.649	0.0	0.0	0.0	0.0	0.0	2.659	0.0	0.943	0.0	0.0	0.0	0.0	0.0	0.954	0.0	0.354	0.0	0.0	0.0	0.0	0.0	0.364	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.054
CPI-SS03A875239	CCL16_CCR8	simple:O15467	simple:P51685	CCL16	CCR8	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C1BD22BC	SPP1_PTGER4	simple:P10451	simple:P35408	SPP1	PTGER4	True	False	True	IMEx,MINT	False	0.689	0.76	0.558	0.59	0.648	0.774	0.563	0.571	0.79	0.861	0.659	0.691	0.749	0.875	0.664	0.672	0.796	0.867	0.666	0.698	0.756	0.882	0.671	0.678	0.43	0.501	0.299	0.332	0.389	0.515	0.304	0.312	8.343	8.415	8.213	8.245	8.303	8.429	8.218	8.226	22.435	22.506	22.304	22.336	22.394	22.52	22.309	22.317	0.751	0.822	0.62	0.652	0.71	0.836	0.625	0.633	0.762	0.833	0.632	0.664	0.722	0.848	0.636	0.644
CPI-SC01AB9BED7	SPP1_a9b1 complex	simple:P10451	complex:a9b1 complex	SPP1		True	False	False	curated	True	0.0	0.492	0.0	0.49	0.0	0.489	0.0	0.0	0.0	0.593	0.0	0.591	0.0	0.59	0.0	0.0	0.0	0.6	0.0	0.597	0.0	0.597	0.0	0.0	0.0	0.234	0.0	0.231	0.0	0.231	0.0	0.0	0.0	8.147	0.0	8.144	0.0	8.144	0.0	0.0	0.0	22.238	0.0	22.236	0.0	22.235	0.0	0.0	0.0	0.554	0.0	0.552	0.0	0.551	0.0	0.0	0.0	0.566	0.0	0.563	0.0	0.563	0.0	0.0
CPI-SC056BF6CBB	TNC_a9b1 complex	simple:P24821	complex:a9b1 complex	TNC		True	False	False	curated	True	0.0	0.009	0.0	0.006	0.0	0.006	0.0	0.0	0.0	0.012	0.0	0.01	0.0	0.009	0.0	0.0	0.0	0.006	0.0	0.003	0.0	0.003	0.0	0.0	0.0	0.005	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.003	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC062D34C2A	VCAM1_a9b1 complex	simple:P19320	complex:a9b1 complex	VCAM1		False	False	False	curated	True	0.0	0.006	0.0	0.003	0.0	0.003	0.0	0.0	0.0	0.004	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.036	0.0	0.034	0.0	0.033	0.0	0.0	0.0	0.058	0.0	0.055	0.0	0.055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS085EE60B1	TGFB1_TGFBR3	simple:P01137	simple:Q03167	TGFB1	TGFBR3	True	False	True	curated	False	0.776	0.746	0.697	0.711	0.0	0.673	0.678	0.68	0.81	0.78	0.731	0.744	0.0	0.707	0.712	0.714	0.902	0.872	0.823	0.837	0.0	0.799	0.804	0.806	0.754	0.724	0.675	0.689	0.0	0.651	0.656	0.658	1.37	1.34	1.291	1.305	0.0	1.267	1.272	1.275	1.226	1.196	1.147	1.16	0.0	1.123	1.128	1.13	0.7	0.67	0.621	0.635	0.0	0.597	0.602	0.605	0.571	0.541	0.492	0.506	0.0	0.468	0.473	0.476
CPI-SS0D46E2B45	TGFB3_TGFBR3	simple:P10600	simple:Q03167	TGFB3	TGFBR3	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.107	0.077	0.028	0.042	0.0	0.004	0.009	0.011	0.112	0.082	0.033	0.047	0.0	0.009	0.014	0.016	0.107	0.077	0.028	0.041	0.0	0.004	0.009	0.011	0.105	0.074	0.026	0.039	0.0	0.001	0.006	0.009	0.104	0.074	0.025	0.039	0.0	0.001	0.006	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0A05D3880	THY1_aMb2 complex	simple:P04216	complex:aMb2 complex	THY1		False	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.04	0.0	0.016	0.681	1.09	0.012	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC07312BD5C	FCER2_aMb2 complex	simple:P06734	complex:aMb2 complex	FCER2		True	True	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.04	0.0	0.016	0.681	1.09	0.012	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.04	0.0	0.016	0.681	1.09	0.012	0.046	0.024	0.052	0.0	0.029	0.693	1.102	0.024	0.059	0.042	0.07	0.0	0.047	0.711	1.12	0.042	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0B6D68FD5	ICAM1_aMb2 complex	simple:P05362	complex:aMb2 complex	ICAM1		False	True	False	curated	True	0.022	0.05	0.0	0.027	0.691	1.1	0.022	0.057	0.048	0.077	0.0	0.053	0.718	1.127	0.049	0.084	0.022	0.051	0.0	0.027	0.692	1.101	0.022	0.057	0.029	0.058	0.0	0.034	0.699	1.108	0.03	0.065	0.332	0.36	0.0	0.337	1.001	1.41	0.332	0.367	0.404	0.433	0.0	0.409	1.074	1.483	0.405	0.44	0.022	0.051	0.0	0.027	0.692	1.101	0.023	0.058	0.022	0.05	0.0	0.027	0.691	1.1	0.022	0.057
CPI-SC0527EEE7A	C3_aMb2 complex	simple:P01024	complex:aMb2 complex	C3		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.043	0.0	0.019	0.684	1.093	0.015	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.042	0.0	0.018	0.683	1.092	0.014	0.048	0.02	0.049	0.0	0.025	0.69	1.099	0.021	0.056	0.024	0.053	0.0	0.029	0.694	1.103	0.024	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0B292AEE6	GP1BA_aMb2 complex	simple:P07359	complex:aMb2 complex	GP1BA		False	False	False	curated	True	0.014	0.042	0.0	0.019	0.683	1.092	0.014	0.049	0.012	0.041	0.0	0.017	0.682	1.091	0.012	0.047	0.022	0.051	0.0	0.027	0.692	1.101	0.022	0.057	0.011	0.04	0.0	0.016	0.681	1.09	0.012	0.047	0.012	0.04	0.0	0.016	0.681	1.09	0.012	0.047	0.011	0.04	0.0	0.016	0.681	1.09	0.012	0.047	0.017	0.045	0.0	0.021	0.686	1.095	0.017	0.052	0.014	0.042	0.0	0.018	0.683	1.092	0.014	0.049
CPI-SC0F9DD28F3	JAM3_aMb2 complex	simple:Q9BX67	complex:aMb2 complex	JAM3		True	False	False	curated	True	0.014	0.042	0.0	0.019	0.683	1.092	0.014	0.049	0.011	0.04	0.0	0.016	0.681	1.09	0.012	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.04	0.0	0.016	0.681	1.09	0.012	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.045	0.0	0.021	0.686	1.095	0.017	0.052
CPI-SC0C6B54D7A	THY1_aXb2 complex	simple:P04216	complex:aXb2 complex	THY1		False	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.04	0.003	0.009	0.982	1.103	0.017	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC03446A95E	FCER2_aXb2 complex	simple:P06734	complex:aXb2 complex	FCER2		True	True	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.041	0.003	0.01	0.983	1.103	0.018	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.04	0.003	0.009	0.982	1.103	0.017	0.008	0.029	0.053	0.016	0.022	0.995	1.115	0.03	0.021	0.047	0.071	0.034	0.04	1.013	1.133	0.048	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0A9458008	ICAM1_aXb2 complex	simple:P05362	complex:aXb2 complex	ICAM1		False	True	False	curated	True	0.027	0.051	0.014	0.02	0.993	1.113	0.028	0.019	0.054	0.077	0.04	0.046	1.019	1.14	0.054	0.046	0.027	0.051	0.014	0.02	0.993	1.113	0.028	0.019	0.035	0.058	0.021	0.027	1.0	1.121	0.035	0.027	0.337	0.361	0.324	0.33	1.303	1.423	0.338	0.329	0.41	0.433	0.396	0.403	1.376	1.496	0.41	0.402	0.028	0.051	0.014	0.02	0.993	1.114	0.028	0.02	0.027	0.051	0.014	0.02	0.993	1.113	0.028	0.019
CPI-SS000568A0E	FCER2_CR2	simple:P06734	simple:P20023	FCER2	CR2	True	True	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0ACD487F0	L1CAM_L1CAM	simple:P32004	simple:P32004	L1CAM	L1CAM	False	False	False	curated	False	0.005	0.009	0.011	0.015	0.0	0.007	0.0	0.005	0.009	0.012	0.014	0.019	0.0	0.01	0.0	0.009	0.011	0.014	0.017	0.021	0.0	0.012	0.0	0.011	0.015	0.019	0.021	0.025	0.0	0.016	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.01	0.012	0.016	0.0	0.008	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.009	0.011	0.015	0.0	0.007	0.0	0.005
